"Time_Casa","Visitante","Prob_Vitoria_Casa","Prob_Vitoria_Visitante"
"Washington Wizards","Toronto Raptors",0.495330816610372,0.504669183389628
"Brooklyn Nets","Dallas Mavericks",0.497242675315891,0.502757324684109
"New Orleans Pelicans","Philadelphia 76ers",0.501600451892299,0.498399548107701
"Denver Nuggets","Chicago Bulls",0.508451573103023,0.491548426896977
"Phoenix Suns","Milwaukee Bucks",0.504989712543588,0.495010287456412
"Sacramento Kings","Boston Celtics",0.492936158869785,0.507063841130215
"Charlotte Hornets","Orlando Magic",0.498832944314772,0.501167055685228
"Detroit Pistons","San Antonio Spurs",0.50578291290666,0.49421708709334
"Miami Heat","Golden State Warriors",0.497325841175276,0.502674158824724
"New York Knicks","Dallas Mavericks",0.511422445453988,0.488577554546012
"Houston Rockets","Atlanta Hawks",0.509624566255316,0.490375433744684
"Utah Jazz","Memphis Grizzlies",0.49054522702896,0.50945477297104
"Portland Trail Blazers","Cleveland Cavaliers",0.489717951136685,0.510282048863315
"Sacramento Kings","Oklahoma City Thunder",0.491550793407033,0.508449206592967
"Philadelphia 76ers","Washington Wizards",0.50745742017508,0.49254257982492
"Brooklyn Nets","Toronto Raptors",0.501378169790518,0.498621830209482
"Indiana Pacers","Los Angeles Lakers",0.506827579165887,0.493172420834113
"New York Knicks","LA Clippers",0.508836253183199,0.491163746816801
"Denver Nuggets","Milwaukee Bucks",0.50876352802925,0.49123647197075
"Phoenix Suns","Boston Celtics",0.492609079990011,0.507390920009989
"Cleveland Cavaliers","San Antonio Spurs",0.518308033224294,0.481691966775706
"Orlando Magic","Dallas Mavericks",0.505610772683552,0.494389227316448
"Washington Wizards","Indiana Pacers",0.488141437229193,0.511858562770807
"Miami Heat","Atlanta Hawks",0.502629393333082,0.497370606666918
"Chicago Bulls","Los Angeles Lakers",0.498089833323615,0.501910166676385
"Oklahoma City Thunder","Memphis Grizzlies",0.512978548953377,0.487021451046623
"Utah Jazz","Houston Rockets",0.489875911333677,0.510124088666323
"Sacramento Kings","Portland Trail Blazers",0.508952730344904,0.491047269655096
"Detroit Pistons","Cleveland Cavaliers",0.491808483616967,0.508191516383033
"Brooklyn Nets","LA Clippers",0.494110039808554,0.505889960191446
"Toronto Raptors","Charlotte Hornets",0.509306972932314,0.490693027067686
"Milwaukee Bucks","New York Knicks",0.504445074745815,0.495554925254185
"Minnesota Timberwolves","Phoenix Suns",0.510829339319299,0.489170660680701
"New Orleans Pelicans","Golden State Warriors",0.492331116122832,0.507668883877168
"Denver Nuggets","Utah Jazz",0.514467685968144,0.485532314031856
"Orlando Magic","Sacramento Kings",0.501776830135039,0.498223169864961
"Washington Wizards","Brooklyn Nets",0.492720507720843,0.507279492279157
"Philadelphia 76ers","Miami Heat",0.498208322250791,0.50179167774921
"Chicago Bulls","Dallas Mavericks",0.499484442287863,0.500515557712137
"Memphis Grizzlies","Los Angeles Lakers",0.512492359413203,0.487507640586797
"Oklahoma City Thunder","Indiana Pacers",0.516627507681186,0.483372492318814
"San Antonio Spurs","Boston Celtics",0.489919898003711,0.510080101996289
"Cleveland Cavaliers","LA Clippers",0.515141975697286,0.484858024302714
"New York Knicks","Portland Trail Blazers",0.513484873988156,0.486515126011844
"Milwaukee Bucks","Atlanta Hawks",0.508900050311677,0.491099949688323
"Minnesota Timberwolves","Detroit Pistons",0.501379268068412,0.498620731931588
"New Orleans Pelicans","Charlotte Hornets",0.50751701431218,0.49248298568782
"San Antonio Spurs","Golden State Warriors",0.496949606865408,0.503050393134592
"Philadelphia 76ers","Toronto Raptors",0.502973393443633,0.497026606556367
"Phoenix Suns","Houston Rockets",0.499870415964753,0.500129584035247
"Charlotte Hornets","Utah Jazz",0.502942479276087,0.497057520723913
"Indiana Pacers","Sacramento Kings",0.504411102953367,0.495588897046633
"Orlando Magic","LA Clippers",0.502714872202357,0.497285127797643
"Washington Wizards","Miami Heat",0.490554529684964,0.509445470315036
"Memphis Grizzlies","Boston Celtics",0.499818939975859,0.500181060024141
"Oklahoma City Thunder","Chicago Bulls",0.51759575248195,0.48240424751805
"Dallas Mavericks","Brooklyn Nets",0.509472349242641,0.490527650757359
