"Time_Casa","Visitante","Prob_Vitoria_Casa","Prob_Vitoria_Visitante","Placar_Estimado_Casa","Placar_Estimado_Fora"
"Philadelphia 76ers","Toronto Raptors",0.502973393443633,0.497026606556367,110,108
"Phoenix Suns","Houston Rockets",0.499870415964753,0.500129584035247,115,114
"Charlotte Hornets","Utah Jazz",0.502942479276087,0.497057520723913,106,113
"Indiana Pacers","Sacramento Kings",0.504411102953367,0.495588897046633,119,116
"Orlando Magic","LA Clippers",0.502714872202357,0.497285127797643,106,110
"Washington Wizards","Miami Heat",0.490554529684964,0.509445470315036,111,107
"Memphis Grizzlies","Boston Celtics",0.499818939975859,0.500181060024141,124,116
"Oklahoma City Thunder","Chicago Bulls",0.51759575248195,0.48240424751805,120,118
"Dallas Mavericks","Brooklyn Nets",0.509472349242641,0.490527650757359,114,107
"Los Angeles Lakers","Houston Rockets",0.50397791455872,0.49602208544128,115,114
"Atlanta Hawks","Portland Trail Blazers",0.503954349234943,0.496045650765057,117,108
"New York Knicks","Philadelphia 76ers",0.513659418708574,0.486340581291426,118,110
"San Antonio Spurs","Orlando Magic",0.504361210877373,0.495638789122627,117,104
"Chicago Bulls","Toronto Raptors",0.503488794282479,0.496511205717521,116,108
"Memphis Grizzlies","Golden State Warriors",0.506712468969121,0.493287531030879,124,114
"Milwaukee Bucks","Phoenix Suns",0.511936977569307,0.488063022430693,117,114
"Denver Nuggets","Minnesota Timberwolves",0.503224158845687,0.496775841154313,123,112
"Cleveland Cavaliers","New York Knicks",0.511271191703409,0.488728808296591,123,115
"Indiana Pacers","Charlotte Hornets",0.516090306013268,0.483909693986732,119,105
"Washington Wizards","Sacramento Kings",0.487743979980748,0.512256020019252,111,116
"Boston Celtics","Miami Heat",0.512772468927612,0.487227531072388,117,107
"Houston Rockets","Utah Jazz",0.515783288652925,0.484216711347075,113,113
"Oklahoma City Thunder","Detroit Pistons",0.511539870558066,0.488460129441934,120,116
"Dallas Mavericks","Atlanta Hawks",0.505656877897991,0.494343122102009,114,117
"Denver Nuggets","San Antonio Spurs",0.511140701626353,0.488859298373647,123,111
"LA Clippers","New Orleans Pelicans",0.52276707530648,0.47723292469352,114,109
"Washington Wizards","Orlando Magic",0.491127488999489,0.508872511000511,111,104
"Brooklyn Nets","Minnesota Timberwolves",0.489131189665949,0.510868810334051,104,112
"Miami Heat","Memphis Grizzlies",0.497937344673757,0.502062655326243,111,121
"Philadelphia 76ers","Milwaukee Bucks",0.496787160582271,0.503212839417729,110,111
"Toronto Raptors","Portland Trail Blazers",0.503100742416394,0.496899257583606,113,108
"Los Angeles Lakers","Golden State Warriors",0.503833252552296,0.496166747447704,115,114
"Charlotte Hornets","Sacramento Kings",0.494974554707379,0.505025445292621,106,116
"Indiana Pacers","Utah Jazz",0.512028496864991,0.487971503135009,119,113
"Boston Celtics","Phoenix Suns",0.513983690727877,0.486016309272123,117,114
"Toronto Raptors","Detroit Pistons",0.492884077362851,0.507115922637149,113,116
"Chicago Bulls","Portland Trail Blazers",0.501184981913434,0.498815018086566,116,108
"Houston Rockets","Oklahoma City Thunder",0.495801094026877,0.504198905973123,113,118
"San Antonio Spurs","Cleveland Cavaliers",0.490850392126052,0.509149607873948,117,122
"Golden State Warriors","Denver Nuggets",0.500060606060606,0.499939393939394,113,119
"Los Angeles Lakers","New Orleans Pelicans",0.520626336309898,0.479373663690102,115,109
"LA Clippers","Dallas Mavericks",0.512941011173639,0.487058988826361,114,116
"Atlanta Hawks","New York Knicks",0.495723756866068,0.504276243133932,117,115
"Detroit Pistons","Memphis Grizzlies",0.498613911290323,0.501386088709677,114,121
"Philadelphia 76ers","Minnesota Timberwolves",0.490981169474727,0.509018830525273,110,112
"Miami Heat","Milwaukee Bucks",0.502651618166984,0.497348381833016,111,111
"LA Clippers","Dallas Mavericks",0.512941011173639,0.487058988826361,114,116
"Charlotte Hornets","Chicago Bulls",0.496701321136144,0.503298678863856,106,118
"Brooklyn Nets","Toronto Raptors",0.501378169790518,0.498621830209482,104,108
"Oklahoma City Thunder","Los Angeles Lakers",0.518796276589786,0.481203723410214,120,111
"Atlanta Hawks","Utah Jazz",0.506159380207906,0.493840619792094,117,113
"Boston Celtics","Washington Wizards",0.521720602084462,0.478279397915538,117,107
"Cleveland Cavaliers","Sacramento Kings",0.51396235699348,0.48603764300652,123,116
"Portland Trail Blazers","San Antonio Spurs",0.503647002932484,0.496352997067516,113,111
"New York Knicks","Phoenix Suns",0.512489787025437,0.487510212974563,118,114
"Denver Nuggets","Indiana Pacers",0.507383358155842,0.492616641844158,123,115
"New Orleans Pelicans","Milwaukee Bucks",0.497549834680733,0.502450165319267,112,111
"Golden State Warriors","Houston Rockets",0.500094661802506,0.499905338197494,113,114
"Detroit Pistons","Sacramento Kings",0.501520330296336,0.498479669703664,114,116
"Miami Heat","Philadelphia 76ers",0.506743160674142,0.493256839325858,111,110
"Charlotte Hornets","Memphis Grizzlies",0.492122279282293,0.507877720717707,106,121
"Cleveland Cavaliers","Chicago Bulls",0.515422308811138,0.484577691188862,123,118
"Indiana Pacers","Washington Wizards",0.516582410311459,0.483417589688541,119,107
"Orlando Magic","Atlanta Hawks",0.503579189569219,0.496420810430781,106,117
"Brooklyn Nets","New Orleans Pelicans",0.506964730960281,0.493035269039719,104,109
"New York Knicks","Boston Celtics",0.497387459807074,0.502612540192926,118,116
"Milwaukee Bucks","Minnesota Timberwolves",0.503428677333663,0.496571322666337,117,112
"Oklahoma City Thunder","Los Angeles Lakers",0.518796276589786,0.481203723410214,120,111
"Phoenix Suns","Golden State Warriors",0.49972079341859,0.50027920658141,115,114
"LA Clippers","San Antonio Spurs",0.513660372533821,0.486339627466179,114,111
"Orlando Magic","Boston Celtics",0.490748120586833,0.509251879413167,106,116
"Washington Wizards","Philadelphia 76ers",0.493311254406198,0.506688745593802,111,110
"Toronto Raptors","Charlotte Hornets",0.509306972932314,0.490693027067686,113,105
"Dallas Mavericks","Los Angeles Lakers",0.506396613104975,0.493603386895025,114,111
"Chicago Bulls","Miami Heat",0.498853142843157,0.501146857156843,116,107
"Utah Jazz","Portland Trail Blazers",0.498673907552412,0.501326092447588,112,108
"Golden State Warriors","San Antonio Spurs",0.507766575625766,0.492233424374234,113,111
"Phoenix Suns","Oklahoma City Thunder",0.491211000843225,0.508788999156775,115,118
"Sacramento Kings","Denver Nuggets",0.500080845972254,0.499919154027746,118,119
"LA Clippers","Houston Rockets",0.505940594059406,0.494059405940594,114,114
"Detroit Pistons","New York Knicks",0.498673852891999,0.501326147108001,114,115
"Indiana Pacers","Cleveland Cavaliers",0.494841459929234,0.505158540070766,119,122
"Brooklyn Nets","Atlanta Hawks",0.495260622659759,0.504739377340241,104,117
"Milwaukee Bucks","New Orleans Pelicans",0.520469334515094,0.479530665484906,117,109
"Memphis Grizzlies","Minnesota Timberwolves",0.50635131865473,0.49364868134527,124,112
